Index,Content,Category
325,"But after Nani came on as a late first half substitute for the injured Phil Jones, he turned the game on its head, scoring the first and setting up a second for Javier Hernandez to put United in control of the tie. Jobi McAnuff pulled a goal back to make it a nervy last 10 minutes for the home side but, despite a typical late Reading charge, United held firm to keep Sir Alex Ferguson’s dreams of a second historic treble alive. United came out of the blocks like a steam train and could have been two up in the opening two minutes. Danny Welbeck combined with Hernandez on the edge of the box but the Mexican dallied slightly too long in getting his shot away, his blocked shot falling to Welbeck who miscued his effort to Valencia, who in turn headed over. A minute later and Welbeck had a second chance after being played in on goal by Ashley Young and this time he caught his shot well, forcing Adam Federici into a fine save low to his left. Despite their early chances, Reading did well to weather the early storm and began to dominate possession. The visitors forced a succession of corners and two fine clearing headers from Nemanja Vidic under pressure from Sean Morrison kept the scores level. But it was United who continued to create the better chances and Federici was forced into a fantastic double save, palming Tom Cleverley’s fierce drive into the path of Welbeck before reacting brilliantly to turn his goalbound effort around the post. Reading continued to press United into mistakes all over the pitch with a relentless work rate and David De Gea was forced into a save of his own from an Adam Le Fondre shot that was arrowing into the corner. With under 10 minutes of a combative half remaining, Ferguson was forced into a reshuffle after a worrying knock to the ankle of Jones, who came off the worse after going for a 50-50 challenge with Adrian Mariappa. The England player later left Old Trafford on crutches and his fitness will be of concern to Ferguson with key fixtures coming up, including the Champions League last 16 second leg against Real Madrid on March 5. On came Nani and he had an immediate impact, crashing a first-time shot off Federici’s far post in the final minute of normal time in the half. And in the fourth minute of time added for a blood injury to Noel Hunt after a nasty early clash of heads with Vidic, United almost had the opener with the last kick of the half, Nani again forcing the Reading keeper into a fine save. United started the second half in the same vein as they had in the first, dominating possession and forcing the Reading players back on their heels. Anderson forced Federici into further heroics by palming his shot round for another corner before the increasingly influential Nani rifled a shot just wide. With Reading legs visibly tiring, one sensed the goal was coming and it came as no surprise when it came from the man wearing number 17, Nani firing home with the help of a slight deflection off Morrison’s hand. Straight from the kick-off and Reading were almost level, De Gea denying Le Fondre with a terrific reaction save after Hunt’s back header fell into the striker’s path. But Reading barely had time to reflect on the opportunity before they found themselves two down, Nani breaking free down the right before delivering a perfect cross onto the head of Hernandez, who timed his run perfectly to nod home. Reading have proved this season time and time again that they are nothing if not resilient. They have scored in the final 10 minutes on no fewer than seven occasions and they were at it once again to make it a nervy ending for United’s players and fans. Hunt put enough pressure on Chris Smalling in the box for the ball to fall perfectly for McAnuff to slide under De Gea. And Reading almost sealed yet another memorable comeback with practically their last chance of the game from their most likely source, Le Fondre’s header deflecting just wide of the top corner in the final minute of injury time. MAN OF THE MATCH Nani – Manchester United: Came off the bench to change the game in United’s favour. Scored their first, set up their second and could have had more but for Federici in the Reading goal. PLAYER RATINGS MANCHESTER UNITED: De Gea 7, Jones 6, Smalling 6, Vidic 7, Buttner 6, Cleverley 7, Anderson 7, Valencia 6, Young 6, Welbeck 6, Chicharito 7. Subs: Carrick 6, Nani 8, Van Persie 6. READING: Federici 8, Kelly 6, Shorey 7, Mariappa 7, Morrison 7, Karacan 6, Leigertwood 6, McAnuff 7, McCleary 6, Hunt 6, Le Fondre 6. Subs: Guthrie 6, Robson-Kanu 6. MATCHCAST: FULL COMMENTARY AND STATS",Raw Data
326,"Titans coach Mike Munchak has talked with Williams and is interested in adding him to his Tennessee staff, said a person familiar with the situation. The person spoke Sunday to The Associated Press on the condition of anonymity because the Titans do not discuss personnel moves until they are finalized. Before the Titans could hire Williams, he must be reinstated by the league. Commissioner Roger Goodell suspended him indefinitely for his role in the New Orleans Saints bounty program, and NFL spokesman Greg Aiello said Sunday the league has not yet addressed Williams' potential reinstatement. Munchak did not immediately answer a message left by the AP on Sunday. The Titans coach has not talked with the media about his team since the day after the season ended. How quickly the league considers reinstating Williams may take at least a week with the San Francisco 49ers arriving in New Orleans on Sunday to kick off festivities leading up to the Feb. 3 Super Bowl. Williams is the only coach or player who has yet to return to the NFL in the wake of the bounty scandal. Goodell just lifted the suspension for New Orleans coach Sean Payton on Tuesday, nearly two weeks earlier than expected. Saints general manager Mickey Loomis was suspended for eight games and assistant head coach Joe Vitt for six. Four current or former Saints players were also suspended after an investigation found the club had a performance pool offering cash rewards for key plays, including big hits. The player suspensions eventually were overturned. Williams was the Saints defensive coordinator from 2009-11 and was hired by St. Louis in January 2012 by former Titans coach Jeff Fisher before being suspended indefinitely in March 20112. Williams' son, Blake, also was on Fisher's staff as the Rams' linebacker coach — but his contract was not renewed earlier this month. Munchak has known Williams since 1990. Munchak was playing for the then-Houston Oilers when Williams became an assistant coach with the team. They also coached together with the Oilers; Munchak oversaw the offensive line starting in 1994 and Williams rose from defensive assistant to coaching special teams, then linebackers and finally defensive coordinator. Williams left the Titans to become head coach of the Buffalo Bills in 2001 before becoming defensive coordinator with the Washington Redskins from 2004-07. He also was defensive coordinator in Jacksonville in 2008 before being hired by the Saints in 2009. Williams also has a relationship with Munchak's current defensive coordinator, Jerry Gray. When Williams left for Buffalo, Gray went with him and served as Williams' defensive coordinator with the Bills. Even though Gray currently has the job, the Titans' defense needs help and Munchak will be coaching for his job in 2013 after going 6-10 in his second season as head coach. One reason for the losing record was Tennessee's inability to stop anyone; the Titans set a franchise record allowing 471 points in 2012. The only change Munchak has made to his defensive staff was letting linebackers coach Frank Bush go and moving Chet Paralavecchio into the job from assisting with special teams. In Williams' last season with the Titans, Tennessee ranked first in the NFL in fewest yards allowed, first in passing yards allowed and third in rushing defense. The Titans also set a franchise-record for fewest points allowed with 191 with an aggressive defense.",Raw Data
327,"Jen Floyd Engel, a Top 10 columnist for FoxSports.com in the 2012 Associated Press Sports Editors annual contest, had covered local sports for the Fort Worth Star-Telegram since 1997 and became a columnist in 2003 before joining Fox Sports. Sports opinions? She’s never short of them. And love her or hate her, she’ll be just another one of the boys. Follow her on Twitter or like her on Facebook. The war on the “war on Christmas” trudges into yet another year. No exit strategy has been settled upon, no deadline to withdraw from yearly finger pointing about who is destroying this Christian holy day. So we engage in the same fights about nativity scenes in courthouse lawns and express outrage about an $8.75-an-hour-clerk saying “Happy Holidays.” I have slight buy in with this “war on Christmas” narrative, especially as we inch closer and closer to turning what is a meaningful religious holiday for many into just another day of excessive consumption — of stuff, of food and of sports. Where this crowd loses me is how they can rage against the clerk following company policy yet be complicit with another slate of NBA games on Christmas Day this year. Because what says holy day more than Nuggets-Clippers? We will watch. Ratings say we watch in crazy numbers every year. And we would have watched the NFL, too, if it had played. The league made the decision this year not to have Monday Night Football since it would have fallen on Christmas Eve. If they had, I guarantee the ratings would have been crazy good. So who again is taking the meaning out of Christmas — corporations, sports league or us? Because while I fervently believe and annually write that the NBA and NFL should not play games on Christmas, what I also know for sure is NBA commissioner David Stern is not personally warring against anything, much less Jesus and Santa. This seems necessary to point out after San Francisco Chronicle columnist Bruce Jenkins accused Stern of “ruining Christmas for far too many people” in a recent column. He has since apologized, which is good because the column doubled down on this stupidity by saying Stern does this because -- wait for it -- “Stern, who celebrates Hanukkah, has no real feel for Christmas in the first place.” Like if Stern only had a personalized knitted stocking, a Christmas tree and a picture on Santa’s lap to draw on from his childhood, he would quit tempting us with Lakers-Knicks. The column fits perfectly into the false outrage about the “war of Christmas.” We are always blaming others — Stern, atheist parents, Jewish parents, the First Amendment and its clear and concise language about a separation of church and state — for taking Christ out of Christmas. This is a straw man. Christ cannot be taken out of Christmas without our express written permission, just like God cannot be taken out of Yom Kippur. He is always there. The real question is do we include Him in our celebration? Because we choose how we celebrate the day — with a TV blaring or with conversation with family, with Kobe or with the guy we proclaim is the reason for the season. I happen to disagree with playing games on Christmas. Full disclosure: This is slightly selfish. I hate being away from my family on Christmas, and Thanksgiving for that matter. I know I am not alone. I have had many NBA and NFL players tell me how much they hate playing on a day that is very meaningful to them and their faith. There are bigger reasons, too. It would not kill us to have a couple of days of the year where our focus is on our families, where our TVs are off, where the centerpiece of a day we proclaim to be holy is not sports. This is not judgment. There is no right way to celebrate. Church. Or floor seats. A game of Scrabble. Or Knicks-Lakers. Tree. Or menorah. Or none of the above. It is less about the games and more about the hypocrisy. We demand everybody respect our holiday, but do we? Is turning Christmas into just another day of sports really respectful? The truth is scheduling games on Christmas is good business for the NBA. Why Stern has his league play games from sun up to sundown on Christmas Day is because we watch them. It has nothing to do with faith or lack thereof, and absolutely nothing to do with the faith of the commissioner. The NHL (when it is actually having seasons) shuts down on Dec. 24 and 25 not because commissioner Gary Bettman “has a feel for Christmas.” He is Jewish. It has to do with him listening to players who said they wanted to be home with their families. When we talked a year ago about the NHL’s decision not to play on Christmas, Bettman and I actually laughed at the idea that he would not get this because he is Jewish. “Christmas is one of those days in North America where, no matter what religion you are, things come to a halt,” he said at the time. “And is that such a bad thing?” What Bettman seems to get better than anybody is what I have written many times. We do not exclude others when we insist on honoring our beliefs and keeping them holy. We exclude others when we refuse to do likewise for them when it comes to theirs. We do not honor the Reason for the season when we demand people say Merry Christmas, or scream about the lack of a decorated tree at the public school, or put the onus on others to make our days holy. Because if this is indeed a war, as we are being sold, what side are you on if you choose to spend the day with LeBron instead of the One whose birthday it is?",Raw Data
328,"It began like any other Saturday for the Kansas City Chiefs during the NFL season, their general manager and coach at work early to put final touches on this weekend's gameplan. Then they got a call to hurry to the parking lot. The two men rushed through the glass doors of Chiefs headquarters and came face-to-face with linebacker Jovan Belcher, holding a handgun to his head. Belcher had already killed his girlfriend and sped the short distance to Arrowhead Stadium, right past a security checkpoint guarding the entrance. Upon finding his bosses, Belcher thanked general manager Scott Pioli and head coach Romeo Crennel for giving him a chance in the NFL. Then he turned away and pulled the trigger. The murder-suicide shocked a franchise that has been dealing with controversies now made trivial by comparison: eight consecutive losses, injuries too numerous to count, discontent among fans and the prospect that Pioli and Crennel could be fired at season's end. Authorities did not release a possible motive while piecing together the case, other than to note that Belcher and his girlfriend, 22-year-old Kasandra M. Perkins, had been arguing frequently. The two of them left behind a 3-month-old girl. She was being cared for by family. The Chiefs issued a statement that said their game Sunday afternoon against the Carolina Panthers would go on as scheduled, even as the franchise tried to come to grips with the awfulness of Belcher's death. ""The entire Chiefs family is deeply saddened by today's events, and our collective hearts are heavy with sympathy, thoughts and prayers for the families and friends affected by this unthinkable tragedy,"" Chiefs chairman Clark Hunt said in brief a statement. A spokesman for the team told The Associated Press that Crennel plans to coach on Sunday. ""I can tell you that you have absolutely no idea what it's like to see someone kill themselves,"" said Kansas City Mayor Sly James, who spoke to Pioli shortly after the shootings. ""You can take your worst nightmare and put someone you know and love in that situation, and give them a gun and stand three feet away and watch them kill themselves. That's what it's like,"" James said. ""It's unfathomable."" Chiefs quarterback Brady Quinn told The Kansas City Star that when the team met later Saturday morning, Crennel broke the news to them. ""It was obviously tough for coach to have to tell us that,"" Quinn said. ""He really wasn't able to finish talking to us. We got together and prayed and then we moved on."" But Quinn said the team was so stunned, it was hard to digest what had happened. ""It's hard mostly because I keep thinking about what I could have done to stop this,"" he said. ""I think everyone is wondering whether we would have done something to prevent this from happening."" The 25-year-old Belcher was from West Babylon, N.Y., and played college football at Maine. He signed with the Chiefs as an undrafted free agent, made the team and hung around the past four years, eventually moving into the starting lineup. He played in all 11 games this season. The NFL released a statement expressing sympathy and pledging ""to provide assistance in any way that we can."" The players' association has also been in touch with members of the Chiefs. ""We sincerely appreciate the expressions of sympathy and support we have received from so many in the Kansas City and NFL communities, and ask for continued prayers for the loved ones of those impacted,"" Hunt said. ""We will continue to fully cooperate with the authorities and work to ensure that the appropriate counseling resources are available to all members of the organization."" The drama unfolded early Saturday when authorities received a call from a woman who said her daughter had been shot multiple times at a residence about five miles from the Arrowhead complex. The call came from Belcher's mother, who referred to the victim as her daughter. ""She treated Kasandra like a daughter,"" Kansas City police spokesman Darin Snapp said, adding that the woman had recently moved in with the couple, ""probably to help out with the baby."" Police then got a phone call from the Chiefs' training facility, and Belcher's description matched the suspect description from the initial address. Snapp said officers pulled into the practice facility parking lot in a matter of minutes, in time to witness the suicide. ""Pioli and Crennel and another coach or employee was standing outside and appeared to be talking to him,"" Snapp said. ""The suspect began to walk in the opposite direction of the coaches and the officers and that's when they heard the gunshot. It appears he took his own life."" The coaches told police they never felt in any danger. ""They said the player was actually thanking them for everything they'd done for him,"" Snapp said. ""He was thanking them and everything. That's when he walked away and shot himself."" Members of the Chiefs mostly laid low Saturday, but a few reacted on Twitter. ""I am devastated by this mornings events,"" Pro Bowl linebacker Tamba Hali wrote. ""I want to send my thoughts and prayers out to everyone effected by this tragedy."" A large group of Belcher's friends and relatives gathered Saturday at his boyhood home on Long Island. His family turned the front yard into a shrine, with a large poster of Belcher, an array of his trophies, and jerseys and jackets from Kansas City, Maine and West Babylon High. ""He was a good, good person ... a family man. A loving guy,"" said family friend Ruben Marshall, who said he coached Belcher in youth football. ""You couldn't be around a better person."" At least 20 people gathered for a large group hug in the driveway. ""He was a tremendous player and all those things, and his accolades speak for themselves, but he lit up when he spoke about his mom, or when he hugged his family after games,"" said Dwayne Wilmot, who was Belcher's position coach at Maine and is now an assistant coach at Yale. ""It's difficult to talk about Jovan in the past tense,"" he told the AP. ""There's going to be unanswered questions, the why's of this tragedy. It'll never be truly known to us."" Wilmot said he'd stayed in touch with Belcher the past few years through social media. ""He was someone who took genuine pleasure in bringing happiness to others,"" Wilmot said. ""I was so excited when he became a father, because I knew he'd be a great father."" His girlfriend's Facebook page shows the couple smiling and holding the baby. Belcher is the latest among several players and NFL retirees to die from self-inflicted gunshot wounds during the past few years. The death of star linebacker Junior Seau, who shot himself in the chest in at his California home last May, sent shockwaves around the league. Seau's family, like those of other suicide victims, donated his brain tissue to medical authorities to determine if head injuries he sustained playing football might be linked to his death. That report has not been released, although an autopsy showed no underlying hemorrhaging or bruises on Seau's brain. Belcher did not have an extensive injury history, though he was listed as having a head injury on a report from Nov. 11, 2009. Belcher played four days later against the Oakland Raiders. Earlier this year, the NFL provided a grant to help establish an independently operated phone service that connects players, coaches, team officials and other staff with counselors trained to work through personal and emotional crises. The NFL Life Line is available 24 hours a day. The season has been a massive disappointment for the Chiefs, who were expected to contend for the AFC West title. They're 1-10 and mired in an eight-game skid marked by injuries, poor play and fan upheaval. During the past few weeks there have been constant calls for Pioli and Crennel to be fired. It's unknown how the Chiefs plan to pay tribute to Belcher during Sunday's game. ""His move to the NFL was in keeping with his dreams,"" said Jack Cosgrove, who coached Belcher at Maine. ""This is an indescribably horrible tragedy.""",Raw Data
329,"﻿Ryan Newman isn’t sure what the future holds. But Newman, 35, who finds himself in his second contract year in as many seasons, doesn’t seem the least bit concerned. BOOGITY! BOOGITY! BOOGITY! Mark your calendars now and get ready to ""reach up and pull those belts down tight one more time!"" the Kobalt Tools 400 on FOX is set for 2:30 p.m. ET on Sunday. “I’m here to represent my sponsor and win a championship,” Newman said. “I have my personal goals and I have my team goals. What happens, happens. What I do and where I end up, is where I end up. If I stay, I stay, If I don’t, I don’t. I have to do what’s best for me.” The driver of the No. 39 Stewart/Haas Racing Chevrolet earned a reprieve for 2013. After shopping the driver market last season, he accepted a one-year deal at a reduced pay rate to remain with the organization – his racing home since 2009. Quicken Loans has signed on for half of the races, but as is the case with Newman’s teammates Tony Stewart and Danica Patrick, sponsorship is needed for all three cars. Despite the uncertainty, Newman, insists that he’s not carrying a greater burden into this season. “I have no extra pressure on myself to perform at any time in my career,” Newman said. “I just don’t have the things done on paperwork to say what I’m doing in 2014. It doesn’t change how I drive this year. I give 100 percent each and every lap. There’s no 110 percent. There’s only 100 percent. I’ve always done that and I always will. “It’s not a distraction to me. I don’t think it’s a distraction. It’s something I have to work on. It’s no different than what I’ve worked on my entire life. You just never know. It’s not like something is going to fall from the sky and land in your lap. You have to work at it. And my goal is to work on what I need to work on this year. It will all come together.” However, with the addition of Patrick to the fold, Newman lost crew chief Tony Gibson and his team for the last four years which were recruited for the No. 10 team to bring the rookie up to speed. For Newman, that means a reunion with his former Penske Racing crew chief Matt Borland. When Newman started his Cup career in 2000, Borland was there to call the shots. Together, the only combination of driver/crew chief with engineering degrees in the garage, won 12 races together and 37 of Newman’s 49 career poles – which earned him the moniker “Rocketman”. But when the team went winless in 2006, Borland left the company. After a short stint at Michael Waltrip Racing, Borland accepted the position of competition director at Haas CNC Racing – the forerunner of Stewart Haas Racing. TRUE TEST NASCAR Sprint Cup drivers tried out the new-model car at Daytona. Take a look! After the partnership was formed between Tony Stewart and Gene Haas, Borland assumed the role of vice president of competition. He’ll retain that job in addition to guiding the No. 39 team this year. Considering the success Newman enjoyed with Borland in the past, he is confident the pair can rekindle their previous spark. And with their engineering backgrounds, Newman believes the team will have an advantage getting up to speed with the new Generation 6 car. “I’m really excited to have Matt back as the crew chief,” Newman said. “Most people don’t realize that he was the best man at my wedding (in 2004). He has a great personal connection as well as a performance connection. And we look forward to getting back to Victory Lane. “We think a lot alike. Sometimes it’s scary. We have our past. We know where we succeeded – and we know where we failed. Overcoming those failures is what makes you stronger yet. That’s why I’m excited to be back with him this year because we know how good we can be. We know where we failed and we know that adapting to a new race car, we can do it again. It’s still physics.” Considering his friendship with Newman and the precarious situation the driver is in, Borland says he “absolutely feel(s) the pressure”. “I don’t know if it’s different – less or more than what Roger (Penske) would put on us at times,” Borland said. Roger never says no to anything but you have to perform. I feel we really have to step up and run well this year. It’s very important for him. “He’s one of the greatest drivers out there. He has the ability to do all those things so if he’s not doing that, that’s something that we’re not doing right as far as getting the cars ready. From that aspect there’s probably less pressure because we know there’s somebody that can get the job done. We just need to get the job done.” CHECK IT OUT Chevrolet has officially unveiled its 2013 Sprint Cup model. If Newman has a competitive flaw, it’s that he’s too aggressive. Despite his talent for winning poles, he’s converted just four into wins throughout his Cup career. In 2012, Newman scored his third win under the SHR banner which elevated him to a season-high eighth in the point standings six races into the year. But an engine failure four races later at Talladega compounded by a run-in with Kurt Busch at Darlington the following week knocked Newman down to 14th in the point standings where he ultimately finished the year. Certainly, bringing Borland back on the pit box will keep Newman motivated and provide him the best opportunity to showcase his talent as he auditions for his next ride. “We started off strong last year and it just kind of fell apart. We won early, which was nice. But even with that win – which would have gotten us into the Chase in 2011 – it didn’t get us into the Chase in 2012. As (competition director Greg) Zipadelli said, ‘you can’t just sit there and feel like you’re happy because you have speed, it takes teamwork, it takes a lot of things to be successful and have a shot at the championship.”",Raw Data
330,"Ken Rosenthal has been the senior baseball writer for FOXSports.com since August 2005. He appears weekly on MLB on FOX. Follow him on Twitter. Free-agent right-hander Carl Pavano doesn’t figure to be signing with a new team anytime soon. Baseball players have been hurt in many embarrassing ways. See the weirdest, ego-bruising injuries. Pavano, 37, recently suffered a ruptured spleen that will sideline him for 6 to 8 weeks, according to major-league sources. The injury occurred when Pavano slipped and fell while shoveling snow on his driveway in Vermont, one source said. Pavano’s agent, Dave Pepe, declined comment. The Colorado Rockies and New York Mets were among the teams that had shown interest in Pavano, sources said. Pavano did not pitch after June 1 last season due to a sore right shoulder that was caused by a bone bruise on his humerus, according to reports. He enjoyed a resurgence in the two seasons prior to that, winning 26 games and averaging 222 innings for the Twins.",Raw Data
331,"Mike Thibault, who led the Connecticut Sun to eight playoff appearances but no WNBA championships in his 10 seasons, was fired by the team on Tuesday. Thibault had been the Sun's only coach, hired when the team relocated from Orlando before the 2003 season. He led the Sun to the WNBA Finals in 2004 and 2005, and five Eastern Conference Finals. The Sun finished the 2012 season as the top seed in the East with a 25-9 record. Led by league MVP Tina Charles, the team swept New York in the first round of the playoffs before losing to eventual WBNA champion Indiana in three games in the conference finals. ''We have the ultimate respect and appreciation for everything coach Thibault has done here, and he has played a huge part in establishing the Connecticut Sun as the model franchise in the league,'' said Mitchell Etess, the Sun's chief executive officer. ''However, our ultimate goal is the championship, and this change is made in with an eye to accomplishing just that.'' Sun assistants Scott Hawk and Bernadette Mattox also were let go. Thibault had a 206-134 regular-season record with the Sun and was named the WNBA Coach of the Year in 2006 and 2008. He needs just six more victories to pass former Houston Comets coach Van Chancellor for the most wins in WBA history. Thibault, who came to the Sun after being an assistant coach with the Milwaukee Bucks, said he turned down an opportunity this summer to return the NBA because he felt into wouldn't be fair to his players. He said he's disappointed not to be able to finish the job in Connecticut with a championship, something he felt the team was close to achieving. ''I think we were headed in the right direction,'' he said. ''I think if you ask the players, they think we were headed in the right direction. But I'm not the one to set the direction anymore.'' Thibault said he has not ruled out returning to the WNBA with another team, but wants to take his time to consider his options before making his next career move. Sun officials said they would begin formally interviewing candidates for their coaching job immediately, but set timetable to name Thibault's replacement. ''We are committed to bringing a WNBA championship to our loyal fans, who have given us tremendous support our first 10 seasons,'' general manager Chris Sienko said. ''We have several candidates in mind who we believe can help us accomplish that goal. ''Ultimately, we want to find the best fit for our athletes and this organization.''",Raw Data
332,"Stephan El Shaarawy scored his first goal in five games to down 10-man Atalanta and fire AC Milan up to fifth in the Serie A table. The prodigiously talented striker had gone missing over recent games, having provided Milan's biggest threat in the first half of the season, but his clinical finish gave the visitors the lead at the Stadio Atleti Azzurri d'Italia. Atalanta refused to surrender, though, and their bid for a first win in six games only unraveled when Davide Brivio was sent off for picking up two yellow cards in the second half. From that point on Milan might have run riot, but they failed to capitalize on a host of gilt-edged chances as time ticked away. Mathieu Flamini made Milan's intentions clear with a fierce strike from distance in the fourth minute, but Andrea Consigli parried the ball to safety. Atalanta have proved to be dangerous on the break this season and Facundo Parra was desperately unlucky not to convert German Denis' fine slide-rule pass in front of Christian Abbiati. El Shaarawy showed his worth on the counter-attack too, almost beating Brivio into the box before another penetrative run was ended by the imposing Guglielmo Stendardo. But the young striker's 17th goal of the season would come in the 29th minute. French striker M'Baye Niang, who excelled in Milan's win at Bologna, tricked his way up the right wing to find El Shaarawy lurking, the 20-year-old gratefully tucking the ball beyond Consigli. Atalanta's resolve might well have faded at that point but the Nerazzurri continued to surge forward, Abbiati foiling a dangerous move between Denis and Giacomo Bonaventura. Niang's daisy-cutter sent Consigli sprawling moments later but Milan would carry the narrowest of margins into the break. Flamini failed to make the most of another incisive ball from Niang as play resumed, with Stendardo soon scrambling the ball away from Giampaolo Pazzini's quick feet. Blows were exchanged towards the hour mark as Consigli pushed a Pazzini backheel away from danger. At the other end, Parra held the ball up to release Denis in the area, but Abbiati leapt off his line to rescue a corner. The odds tipped in Milan's favor when Brivio, who had been booked shortly after the restart, picked up a second yellow card and his marching orders. Atalanta did not lose heart and influential midfielder Carlos Carmona soon put his body on the line to cut out a vicious finish from Flamini. Rather than exploit the space, Milan began to waste decent chances, Riccardo Montolivo fluffing a close-range effort before Flamini scooped the ball away from an open goal. The match was degenerating fast and, with time running out, Atalanta boss Colantuono was sent to the stands for continually protesting referee Andrea Gervasoni's decisions.",Raw Data
333,"He leads Barca in the last-16 first leg tie in the absence of Tito Vilanova, who is recovering from throat surgery, just over 23 years after Roura damaged ligaments in his right knee during a Supercup game involving the same two clubs. Although Roura, who was 22 at the time, continued playing for several more years he was never the same and was shunted around lower-tier clubs Murcia, Figueres and finally Sant Andreu before quitting. ""I don't have happy memories of my match against Milan 23 years ago,"" said the interim coach who has spent much of his career far from the glamour of the Champions League. ""After the injury I couldn't play football any more,"" he told a news conference on Tuesday. ""Milan had a great team then. ""I have returned several times since then as part of the Barcelona staff. A lot has happened since, life always gives you more opportunities,"" added Roura. ""It's always nice for someone who likes football to come to this stadium although it is always a daunting prospect to play Milan here."" Roura had a low-profile coaching career before being thrown into the spotlight thanks to Barca's policy of stability and promoting from within. He had a workmanlike career in the Spanish lower leagues which reached a low point when he was fired by third-tier Hospitalat in 2007. When Vilanova's predecessor Pep Guardiola took over at Barca, Roura joined the staff initially to watch future opponents. He dismissed the suggestion Barca, who have dominated La Liga this season, are firm favourites to beat a Milan side who are rebuilding after selling a raft of players at the end of last term to cut costs. ""I don't agree at all,"" said Roura. ""I've said it a lot of times - Milan are one of the best, they are a very good team and this is a very difficult stadium. ""I don't understand this heavy favouritism, it doesn't make sense. It's very strange.""",Raw Data
334,"﻿ Michael Bisping explains, in about the only way the brash Brit can, why he’s not looking past Saturday’s opponent atop the UFC on FX 7 card, Vitor Belfort. “You have to remain focused or he’ll punch you in the back of the head,” Bisping told FOXSports.com. “He fights dirty.” A victory by Bisping assures him a shot at middleweight champ Anderson Silva, an opportunity that has eluded Bisping in the UFC. It doesn’t seem to faze Bisping that he’ll have to conquer Belfort in his native Brazil. “I’m looking forward to that,” Bisping said. “We’re right there in his backyard. He’ll have no excuses about the judging. He can’t blame the food or the travel or anything like that. I’m going into his territory.” Maybe not geographically, but competitively this is well-traveled ground for Bisping. He’s been seemingly a fight away from being declared the No. 1 contender for much of a UFC career that began in 2006. Bisping, 33, was most recently primed for a breakthrough last January, but he lost a unanimous decision to Chael Sonnen. The defeat was Bisping’s only setback over his last six fights. While it was a tough loss, Bisping knows he can't dwell on the past. Jon Jones. Chael Sonnen. What more could you want? New episodes Tuesdays at 9 p.m. ET/PT on FX. “After that fight, I sat on the couch and drank a cold one,” Bisping said. “I wanted to be impartial and honest. I watched it. I thought I won. I had another beer and watched it again. I won that time, too. But that’s old news. I can’t be making any mistakes against Belfort. He is a dirty fighter.” Belfort doesn’t seem to be amused by Bisping’s rants. “I don’t pay attention to what anybody says,” Belfort said. “Nothing can affect my brain. If you pay attention to what other people say, it’s going to change what I’m doing. He may get attention from what he says about me. It doesn’t matter to me. “What do I think about him? I think he should just go in there and fight. That’s it.” Belfort and Bisping enter UFC on FX in very different positions. Bisping bounced back from his loss to Sonnen with a win over Brian Stann at UFC 152 in September. Belfort’s last fight also came at UFC 152 as he stepped up a division in place of an injured Lyoto Machida. Belfort was submitted by light heavyweight champ Jon Jones in the fourth round. Unlike Bisping, UFC president Dana White said that Belfort — who lasted less than a round against Silva two years ago — will not get a chance at the middleweight title. “I don’t think about it,” Belfort said. “Thinking something doesn’t give you the right to have it. He’s the boss. You just have to follow the rules. I’m a hungry fighter. I’m going to go in there to win.” Two of the top middleweight fighters — Tim Boetsch and Alan Belcher — stumbled last month at UFC 155. For Bisping, it was a reminder of just how fleeting the opportunities — like his on Saturday — can be. “I don’t want to fall on the last hurdle,” Bisping said. “There’s tremendous pressure to perform. I’m a sadistic bastard. I’m pushing myself more and more. I’m working harder and harder. I snap at my coaches and training partners. I want the best out of myself because I’m so close. The stakes are higher.”",Raw Data
